stationCode,stationName
ck,Cuijk
bmr,Boxmeer
vlb,Vierlingsbeek
vry,Venray
br,Blerick
vl,Venlo
tg,Tegelen
rv,Reuver
sm,Swalmen
rm,Roermond
ec,Echt
srn,Susteren
std,Sittard
lut,Geleen-Lutterade
bk,Beek-Elsloo
bde,Bunde
mtn,Maastricht Noord
mt,Maastricht
mtr,Maastricht Randwyck
edn,Eijsden
hvl,Hoevelaken
bnn,Barneveld Noord
bnc,Barneveld Centrum
bnz,Barneveld Zuid
ltn,Lunteren
edc,Ede Centrum
rsn,Rijssen
hon,Holten
dvc,Deventer Colmschate
twl,Twello
apdo,Apeldoorn Osseveld
brn,Baarn
hvs,Hilversum
hvsm,Hilversum Media Park
bsmz,Bussum Zuid
dmnz,Diemen Zuid
rai,Amsterdam RAI
asdz,Amsterdam Zuid
shl,Schiphol
asdl,Amsterdam Lelylaan
hfd,Hoofddorp
rtd,Rotterdam Centraal
rtb,Rotterdam Blaak
rtz,Rotterdam Zuid
rtst,Rotterdam Stadion
rlb,Rotterdam Lombardijen
gv,Den Haag HS
gvmw,Den Haag Moerwijk
rsw,Rijswijk
dt,Delft
dtz,Delft Zuid
sdm,Schiedam Centrum
brd,Barendrecht
zwd,Zwijndrecht
bgn,Bergen op Zoom
rb,Rilland-Bath
kbd,Krabbendijke
krg,Kruiningen-Yerseke
bzl,Kapelle-Biezelinge
gs,Goes
arn,Arnemuiden
mdb,Middelburg
vss,Vlissingen Souburg
vs,Vlissingen
ssh,Sassenheim
nvp,Nieuw Vennep
hvsp,Hilversum Sportpark
hor,Hollandsche Rading
sd,Soestdijk
st,Soest
stz,Soest Zuid
eghm,Eygelshoven Markt
lg,Landgraaf
hrlk,Heerlen De Kissel
hrl,Heerlen
hrlw,Heerlen Woonboulevard
vdl,Voerendaal
kmr,Klimmen-Ransdaal
sog,Schin op Geul
vk,Valkenburg
sgl,Houthem-Sint Gerlach
mes,Meerssen
krd,Kerkrade Centrum
cvm,Chevremont
egh,Eygelshoven
hb,Hoensbroek
nh,Nuth
sn,Schinnen
sbk,Spaubeek
gln,Geleen Oost
wt,Weert
mz,Maarheeze
hze,Heeze
gp,Geldrop
vg,Vught
tpsw,Tiel Passewaaij
rtn,Rotterdam Noord
rta,Rotterdam Alexander
cps,Capelle Schollevaar
nwk,Nieuwerkerk aan den IJssel
nmgo,Nijmegen Goffert
nmd,Nijmegen Dukenburg
wc,Wijchen
rvs,Ravenstein
o,Oss
ow,Oss West
rs,Rosmalen
hto,'s-Hertogenbosch Oost
tbu,Tilburg Universiteit
tbr,Tilburg Reeshof
gz,Gilze-Rijen
etn,Etten-Leur
ldl,Leiden Lammenschans
apn,Alphen aan den Rijn
bdg,Bodegraven
bsk,Boskoop
bsks,Boskoop Snijdelwijk
wadn,Waddinxveen Noord
wad,Waddinxveen
wadt,Waddinxveen Triangel
hmbv,Helmond Brandevoort
hmh,Helmond 't Hout
hm,Helmond
hmbh,Helmond Brouwhuis
dn,Deurne
hrt,Horst-Sevenum
eem,Eemshaven
